ncm,segment
68053010,MATERIAIS DE LIMPEZA
68051000,MATERIAIS DE CONSTRUCAO
65061000,AUTOPECAS
63109000,MATERIAIS DE CONSTRUCAO
63071000,MATERIAIS DE CONSTRUCAO
62101000,MATERIAIS DE CONSTRUCAO
61061000,MATERIAIS DE CONSTRUCAO
59119000,AUTOPECAS
59100000,AUTOPECAS
59090000,AUTOPECAS
59039000,AUTOPECAS
58110000,MATERIAIS DE CONSTRUCAO
57050000,MATERIAIS DE CONSTRUCAO
57033000,AUTOPECAS - FIDELIDADE
57032000,AUTOPECAS
56074900,MATERIAIS DE CONSTRUCAO
56049090,MATERIAIS DE CONSTRUCAO
56039290,PERFUM HIGIENE E COSM
56012219,AUTOPECAS
56012190,PERFUM HIGIENE E COSM - ST INTERNA
55111000,MATERIAIS DE CONSTRUCAO
54021910,MATERIAIS DE CONSTRUCAO
53091100,MATERIAIS DE CONSTRUCAO
53050090,MATERIAIS DE CONSTRUCAO
53039090,MATERIAIS DE CONSTRUCAO
53013000,MATERIAIS DE CONSTRUCAO
52105990,PRODUTOS DE PAPELARIA
52082100,MATERIAIS DE CONSTRUCAO
52051200,MATERIAIS DE CONSTRUCAO
52029900,MATERIAIS DE CONSTRUCAO
52029100,MATERIAIS DE CONSTRUCAO
52021000,MATERIAIS DE CONSTRUCAO
49090000,PRODUTOS DE PAPELARIA
48234000,AUTOPECAS
48209000,PRODUTOS DE PAPELARIA
48205000,PRODUTOS DE PAPELARIA
48204000,PRODUTOS DE PAPELARIA
48203000,PRODUTOS DE PAPELARIA
48202000,PRODUTOS DE PAPELARIA
48201000,PRODUTOS DE PAPELARIA
48189090,PERFUM HIGIENE E COSM
48183000,PERFUM HIGIENE E COSM
48182000,PERFUM HIGIENE E COSM
48181000,PERFUM HIGIENE E COSM
48169010,PRODUTOS DE PAPELARIA
48162000,PRODUTOS DE PAPELARIA
48119090,PRODUTOS DE PAPELARIA
48102290,PRODUTOS DE PAPELARIA
48101390,PRODUTOS DE PAPELARIA
48081000,PRODUTOS DE PAPELARIA
48062000,PRODUTOS DE PAPELARIA
48025799,PRODUTOS DE PAPELARIA
48025499,PRODUTOS DE PAPELARIA
48022090,PRODUTOS DE PAPELARIA
45049000,AUTOPECAS
44170090,FERRAMENTAS
44170010,FERRAMENTAS
40169990,AUTOPECAS
40169300,AUTOPECAS
40161010,AUTOPECAS
40151900,MEDIC E OUTROS PROD FARM - NEU
40151100,MEDIC E OUTROS PROD FARM - NEU
40149090,PERFUM HIGIENE E COSM - ST INTERNA
40149010,PERFUM HIGIENE E COSM
40141000,MEDIC E OUTROS PROD FARM - NEU
40132000,PNEU CAM DE AR E PROT BORR - ST INTERNA
40115000,PNEU CAM DE AR E PROT BORR - ST INTERNA
40114000,PNEU CAM DE AR E PROT BORR
40111000,PNEU CAM DE AR E PROT BORR
40081100,AUTOPECAS
39269090,MEDIC E OUTROS PROD FARM - NEU
39269040,PERFUM HIGIENE E COSM - ST INTERNA
39269010,MATERIAIS DE CONSTRUCAO
39263000,AUTOPECAS
39261000,PRODUTOS DE PAPELARIA
39259090,MATERIAIS DE CONSTRUCAO
39253000,MATERIAIS DE CONSTRUCAO
39252000,MATERIAIS DE CONSTRUCAO
39251000,MATERIAIS DE CONSTRUCAO
39249000,MATERIAIS DE CONSTRUCAO
39241000,PERFUM HIGIENE E COSM - ST INTERNA
39239000,MATERIAIS DE CONSTRUCAO
39233000,MATERIAIS DE CONSTRUCAO
39222000,MATERIAIS DE CONSTRUCAO
39211390,MATERIAIS DE CONSTRUCAO
39203000,MATERIAIS DE CONSTRUCAO
39202019,PRODUTOS DE PAPELARIA
39199000,AUTOPECAS - FIDELIDADE
39191000,AUTOPECAS - FIDELIDADE
39181000,AUTOPECAS
39162000,PRODUTOS DE PAPELARIA
39161000,PRODUTOS DE PAPELARIA
39095029,MATERIAIS DE CONSTRUCAO
38260000,COMBUSTIVEIS E LUBRIFICANTES
38245000,MATERIAIS DE CONSTRUCAO
38190000,MATERIAIS DE CONSTRUCAO
38160019,MATERIAIS DE CONSTRUCAO
38151290,AUTOPECAS
38151210,AUTOPECAS
38099190,MATERIAIS DE CONSTRUCAO
38089429,MATERIAIS DE CONSTRUCAO
38089419,MATERIAIS DE LIMPEZA
38086100,MATERIAIS DE CONSTRUCAO
37040000,PRODUTOS DE PAPELARIA
37039010,PRODUTOS DE PAPELARIA
37032000,PRODUTOS DE PAPELARIA
37031029,PRODUTOS DE PAPELARIA
37031010,PRODUTOS DE PAPELARIA
34059000,MATERIAIS DE CONSTRUCAO
34054000,MATERIAIS DE CONSTRUCAO
34053000,MATERIAIS DE CONSTRUCAO
34052000,MATERIAIS DE CONSTRUCAO
34051000,MATERIAIS DE CONSTRUCAO
34049029,MATERIAIS DE CONSTRUCAO
34029090,MATERIAIS DE CONSTRUCAO
34029039,MATERIAIS DE CONSTRUCAO
34029031,MATERIAIS DE CONSTRUCAO
34029019,MATERIAIS DE CONSTRUCAO
34022000,MATERIAIS DE CONSTRUCAO
34013000,MATERIAIS DE CONSTRUCAO
34012090,MATERIAIS DE CONSTRUCAO
34012010,PERFUM HIGIENE E COSM
34011900,MATERIAIS DE CONSTRUCAO
34011190,MATERIAIS DE CONSTRUCAO
33079000,PERFUM HIGIENE E COSM
33073000,PERFUM HIGIENE E COSM
33072090,PERFUM HIGIENE E COSM
33072010,PERFUM HIGIENE E COSM
33071000,PERFUM HIGIENE E COSM
33069000,PERFUM HIGIENE E COSM - ST INTERNA
33062000,PERFUM HIGIENE E COSM - ST INTERNA
33061000,PERFUM HIGIENE E COSM - ST INTERNA
33059000,PERFUM HIGIENE E COSM
33053000,PERFUM HIGIENE E COSM
33052000,PERFUM HIGIENE E COSM
33051000,PERFUM HIGIENE E COSM
33049990,PERFUM HIGIENE E COSM
33049910,PERFUM HIGIENE E COSM
33049100,PERFUM HIGIENE E COSM
33043000,MATERIAIS DE CONSTRUCAO
33042090,PERFUM HIGIENE E COSM
33042010,PERFUM HIGIENE E COSM
33041000,PERFUM HIGIENE E COSM
33030020,PERFUM HIGIENE E COSM
33030010,PERFUM HIGIENE E COSM
33019030,MATERIAIS DE CONSTRUCAO
33012916,MATERIAIS DE CONSTRUCAO
32149000,MATERIAIS DE CONSTRUCAO
32131000,PRODUTOS DE PAPELARIA
32089010,MATERIAIS DE CONSTRUCAO
32081010,MATERIAIS DE CONSTRUCAO
32064100,TINTAS E VERNIZES
32041913,MATERIAIS DE CONSTRUCAO
31042090,MATERIAIS DE CONSTRUCAO
30067000,PERFUM HIGIENE E COSM
30066000,MATERIAIS DE CONSTRUCAO
30051010,MEDIC E OUTROS PROD FARM - POS
30045090,MATERIAIS DE CONSTRUCAO
29221919,MATERIAIS DE CONSTRUCAO
29221500,MATERIAIS DE CONSTRUCAO
29051919,MATERIAIS DE CONSTRUCAO
29012300,MATERIAIS DE CONSTRUCAO
28499090,MATERIAIS DE CONSTRUCAO
28470000,PERFUM HIGIENE E COSM
28353910,MATERIAIS DE CONSTRUCAO
28289090,MATERIAIS DE CONSTRUCAO
28289020,MATERIAIS DE CONSTRUCAO
28289019,MATERIAIS DE CONSTRUCAO
28289011,MATERIAIS DE LIMPEZA
28142000,PERFUM HIGIENE E COSM
28043000,MATERIAIS DE CONSTRUCAO
28011000,MATERIAIS DE CONSTRUCAO
27129000,MATERIAIS DE CONSTRUCAO
27121000,PERFUM HIGIENE E COSM
27112990,COMBUSTIVEIS E LUBRIFICANTES
27112100,COMBUSTIVEIS E LUBRIFICANTES
27111910,COMBUSTIVEIS E LUBRIFICANTES
27111100,COMBUSTIVEIS E LUBRIFICANTES
27102000,MATERIAIS DE CONSTRUCAO
27101932,MATERIAIS DE CONSTRUCAO
27101922,COMBUSTIVEIS E LUBRIFICANTES
27101919,MATERIAIS DE CONSTRUCAO
27101911,COMBUSTIVEIS E LUBRIFICANTES
27101290,MATERIAIS DE CONSTRUCAO
27101259,MATERIAIS DE CONSTRUCAO
27101251,MATERIAIS DE CONSTRUCAO
27101249,MATERIAIS DE CONSTRUCAO
27101230,MATERIAIS DE CONSTRUCAO
27073000,MATERIAIS DE CONSTRUCAO
25232910,MATERIAIS DE CONSTRUCAO
25232100,MATERIAIS DE CONSTRUCAO
24022000,MATERIAIS DE CONSTRUCAO
22089000,BEBIDA ALC EXCT CERV E CHOP
22087000,BEBIDA ALC EXCT CERV E CHOP
22086000,BEBIDA ALC EXCT CERV E CHOP
22085000,BEBIDA ALC EXCT CERV E CHOP
22084000,BEBIDA ALC EXCT CERV E CHOP
22082000,BEBIDA ALC EXCT CERV E CHOP
22072020,MATERIAIS DE CONSTRUCAO
22072019,MATERIAIS DE CONSTRUCAO
22072011,MATERIAIS DE CONSTRUCAO
22072010,MATERIAIS DE LIMPEZA
22071090,MATERIAIS DE CONSTRUCAO
22071010,MATERIAIS DE CONSTRUCAO
22071000,MATERIAIS DE LIMPEZA
22060090,BEBIDA ALC EXCT CERV E CHOP
22060010,BEBIDA ALC EXCT CERV E CHOP
22030000,CERV CHOP REFRI AGUA E OUTRAS
22029900,PRODUTOS ALIMENTICIOS
22029100,CERV CHOP REFRI AGUA E OUTRAS
22021000,PRODUTOS ALIMENTICIOS
22019000,MATERIAIS DE CONSTRUCAO
22011000,CERV CHOP REFRI AGUA E OUTRAS
21069090,PRODUTOS ALIMENTICIOS
21069030,MATERIAIS DE CONSTRUCAO
21069029,MATERIAIS DE CONSTRUCAO
21069010,CERV CHOP REFRI AGUA E OUTRAS
21041019,MATERIAIS DE CONSTRUCAO
21039091,PRODUTOS ALIMENTICIOS
21039021,MATERIAIS DE CONSTRUCAO
21039019,MATERIAIS DE CONSTRUCAO
21039011,PRODUTOS ALIMENTICIOS
21033021,PRODUTOS ALIMENTICIOS
21033010,PRODUTOS ALIMENTICIOS
21032010,PRODUTOS ALIMENTICIOS
21031010,PRODUTOS ALIMENTICIOS
21011200,PRODUTOS ALIMENTICIOS
21011190,PRODUTOS ALIMENTICIOS
20081900,PRODUTOS ALIMENTICIOS
20060000,PRODUTOS ALIMENTICIOS
20052000,PRODUTOS ALIMENTICIOS
19059090,MATERIAIS DE CONSTRUCAO
19059020,PRODUTOS ALIMENTICIOS
19059010,MATERIAIS DE CONSTRUCAO
19054000,PRODUTOS ALIMENTICIOS
19053200,PRODUTOS ALIMENTICIOS
19053100,PRODUTOS ALIMENTICIOS
19052090,PRODUTOS ALIMENTICIOS
19052010,PRODUTOS ALIMENTICIOS
19051000,PRODUTOS ALIMENTICIOS
19049000,PRODUTOS ALIMENTICIOS
19042000,PRODUTOS ALIMENTICIOS
19041000,PRODUTOS ALIMENTICIOS
19024000,PRODUTOS ALIMENTICIOS
19023000,PRODUTOS ALIMENTICIOS
19022000,MATERIAIS DE CONSTRUCAO
19021900,MATERIAIS DE CONSTRUCAO
19019090,PRODUTOS ALIMENTICIOS
19019020,PRODUTOS ALIMENTICIOS
19012000,PRODUTOS ALIMENTICIOS
19011090,PRODUTOS ALIMENTICIOS
19011030,PRODUTOS ALIMENTICIOS
19011020,PRODUTOS ALIMENTICIOS
19011010,PRODUTOS ALIMENTICIOS
18069000,PRODUTOS ALIMENTICIOS
18063220,PRODUTOS ALIMENTICIOS
18063210,PRODUTOS ALIMENTICIOS
18063120,PRODUTOS ALIMENTICIOS
18063110,PRODUTOS ALIMENTICIOS
18061000,PRODUTOS ALIMENTICIOS
17049090,PRODUTOS ALIMENTICIOS
17049010,PRODUTOS ALIMENTICIOS
17019900,PRODUTOS ALIMENTICIOS
17019100,PRODUTOS ALIMENTICIOS
16042010,PRODUTOS ALIMENTICIOS
16025000,PRODUTOS ALIMENTICIOS
16024900,PRODUTOS ALIMENTICIOS
16024100,PRODUTOS ALIMENTICIOS
16023220,PRODUTOS ALIMENTICIOS
16023210,PRODUTOS ALIMENTICIOS
16023100,PRODUTOS ALIMENTICIOS
16010000,PRODUTOS ALIMENTICIOS
15179010,PRODUTOS ALIMENTICIOS
15171000,PRODUTOS ALIMENTICIOS
15162000,PRODUTOS ALIMENTICIOS
15152910,PRODUTOS ALIMENTICIOS
15151900,PRODUTOS ALIMENTICIOS
15151100,MATERIAIS DE CONSTRUCAO
15131900,MATERIAIS DE CONSTRUCAO
15122990,PRODUTOS ALIMENTICIOS
15122910,PRODUTOS ALIMENTICIOS
15121911,PRODUTOS ALIMENTICIOS
15100000,PRODUTOS ALIMENTICIOS
15079011,PRODUTOS ALIMENTICIOS
15029000,PRODUTOS ALIMENTICIOS
15021019,PRODUTOS ALIMENTICIOS
13021190,MATERIAIS DE CONSTRUCAO
12119090,VENDA MERC SIST MARKET DIRETO
11041900,MATERIAIS DE CONSTRUCAO
11010020,MATERIAIS DE CONSTRUCAO
11010010,PRODUTOS ALIMENTICIOS
10089090,MATERIAIS DE CONSTRUCAO
10019900,MATERIAIS DE CONSTRUCAO
9032899,AUTOPECAS
9032898,AUTOPECAS
9032892,AUTOPECAS
9018321,MEDIC E OUTROS PROD FARM - NEU
8525802,ELETRO
8525801,ELETRO - ST INTERNA
8525501,AUTOPECAS
8517629,ELETRO - ST INTERNA
8517625,ELETRO - ST INTERNA
8517624,ELETRO - ST INTERNA
8517621,ELETRO - ST INTERNA
8517123,ELETRO - ST INTERNA
8471605,ELETRO - ST INTERNA
8431492,AUTOPECAS
8418699,ELETRO - ST INTERNA
8414903,AUTOPECAS
8414802,AUTOPECAS
8414801,AUTOPECAS
4823909,AUTOPECAS - FIDELIDADE
4802589,PRODUTOS DE PAPELARIA
4802579,PRODUTOS DE PAPELARIA
4802569,PRODUTOS DE PAPELARIA
4802549,PRODUTOS DE PAPELARIA
4061090,PRODUTOS ALIMENTICIOS
4061010,PRODUTOS ALIMENTICIOS
4059090,PRODUTOS ALIMENTICIOS
4051000,PRODUTOS ALIMENTICIOS
4039000,PRODUTOS ALIMENTICIOS
4029900,MATERIAIS DE CONSTRUCAO
4022930,PRODUTOS ALIMENTICIOS
4022920,PRODUTOS ALIMENTICIOS
4022130,PRODUTOS ALIMENTICIOS
4015010,PRODUTOS ALIMENTICIOS
4014010,PRODUTOS ALIMENTICIOS
4012090,PRODUTOS ALIMENTICIOS
4012010,PRODUTOS ALIMENTICIOS
4011090,PRODUTOS ALIMENTICIOS
4011010,PRODUTOS ALIMENTICIOS
3816001,MATERIAIS DE CONSTRUCAO
3055900,MATERIAIS DE CONSTRUCAO
2710199,COMBUSTIVEIS E LUBRIFICANTES
2710193,COMBUSTIVEIS E LUBRIFICANTES
2710192,COMBUSTIVEIS E LUBRIFICANTES
2109900,PRODUTOS ALIMENTICIOS
2102000,PRODUTOS ALIMENTICIOS
1019000,MATERIAIS DE CONSTRUCAO
1012100,MATERIAIS DE CONSTRUCAO
910700,ELETRO - ST INTERNA
903290,AUTOPECAS
903220,AUTOPECAS
903210,AUTOPECAS
903089,ELETRO - ST INTERNA
902690,AUTOPECAS
902620,AUTOPECAS
902610,AUTOPECAS
902519,FERRAMENTAS
901831,MEDIC E OUTROS PROD FARM - NEU
901780,FERRAMENTAS
901730,FERRAMENTAS
900659,ELETRO - ST INTERNA
853910,AUTOPECAS - FIDELIDADE
853650,AUTOPECAS
853530,AUTOPECAS
853400,AUTOPECAS
853110,ELETRO - ST INTERNA
852190,ELETRO
851981,AUTOPECAS
851712,ELETRO - ST INTERNA
851679,ELETRO
851240,AUTOPECAS
851230,AUTOPECAS
851220,AUTOPECAS
850730,AUTOPECAS
850720,AUTOPECAS
850710,AUTOPECAS
850520,AUTOPECAS
850431,AUTOPECAS
847330,ELETRO - ST INTERNA
847190,ELETRO
847170,ELETRO
847150,ELETRO
847130,ELETRO
845190,ELETRO - ST INTERNA
845090,ELETRO - ST INTERNA
845020,ELETRO - ST INTERNA
844332,ELETRO
844331,ELETRO
842549,AUTOPECAS
842430,ELETRO - ST INTERNA
842112,ELETRO
841950,AUTOPECAS
841850,ELETRO - ST INTERNA
841520,AUTOPECAS
841510,ELETRO
841480,AUTOPECAS
841330,AUTOPECAS
840820,AUTOPECAS
831000,AUTOPECAS
830170,AUTOPECAS
830160,AUTOPECAS - FIDELIDADE
830120,AUTOPECAS
821490,ELETRO - ST INTERNA
780600,AUTOPECAS
731700,MATERIAIS DE CONSTRUCAO
731512,AUTOPECAS
730890,MATERIAIS DE CONSTRUCAO
700992,AUTOPECAS - FIDELIDADE
700991,AUTOPECAS - FIDELIDADE
480256,PRODUTOS DE PAPELARIA
480220,PRODUTOS DE PAPELARIA
401402,PRODUTOS ALIMENTICIOS
401290,PNEU CAM DE AR E PROT BORR - ST INTERNA
401190,PNEU CAM DE AR E PROT BORR
392690,AUTOPECAS
392590,MATERIAIS DE CONSTRUCAO
391990,AUTOPECAS
391910,AUTOPECAS
391690,PRODUTOS DE PAPELARIA
300630,MEDIC E OUTROS PROD FARM - NEG
220830,BEBIDA ALC EXCT CERV E CHOP
210690,CERV CHOP REFRI AGUA E OUTRAS
210120,PRODUTOS ALIMENTICIOS
190590,PRODUTOS ALIMENTICIOS
190520,PRODUTOS ALIMENTICIOS
170191,PRODUTOS ALIMENTICIOS
151790,PRODUTOS ALIMENTICIOS
96032,PERFUM HIGIENE E COSM
90303,ELETRO - ST INTERNA
90300,PRODUTOS ALIMENTICIOS
87141,AUTOPECAS
85392,AUTOPECAS
85364,AUTOPECAS
85279,ELETRO
85271,AUTOPECAS
85232,ELETRO - ST INTERNA
85162,ELETRO - ST INTERNA
85043,ELETRO - ST INTERNA
84812,AUTOPECAS
84714,ELETRO
84439,ELETRO - ST INTERNA
84219,AUTOPECAS
84182,ELETRO
84158,ELETRO
84145,ELETRO
84122,AUTOPECAS - FIDELIDADE
84099,AUTOPECAS - FIDELIDADE
84073,AUTOPECAS
69074,MATERIAIS DE CONSTRUCAO
69073,MATERIAIS DE CONSTRUCAO
69072,MATERIAIS DE CONSTRUCAO
63061,AUTOPECAS - FIDELIDADE
42029,PRODUTOS DE PAPELARIA
42021,PRODUTOS DE PAPELARIA
40210,PRODUTOS ALIMENTICIOS
40150,PRODUTOS ALIMENTICIOS
